Date,State,Coal_Consumption,Petrol_Consumption
8/31/1961,IL,3262.575,16617.425
8/31/1961,IN,2738.329167,8855.954167
8/31/1961,KS,46.85833333,3941.225
8/31/1961,KY,1003.9,3139.695833
8/31/1961,LA,0,7497.533333
8/31/1961,MA,388.4458333,11886.575
8/31/1961,MD,723.7958333,5101.341667
8/31/1961,ME,63.00416667,2492.329167
8/31/1961,MI,2107.166667,10802.36667
8/31/1961,MN,502.3125,5673.741667
8/31/1961,MO,579.6541667,6240.25
8/31/1961,MS,2.116666667,2287.9125
8/31/1961,MT,29.0375,1760.204167
8/31/1961,NC,792.1583333,6739.766667
8/31/1961,ND,173.275,1469.1375
8/31/1961,NE,66.33333333,2186.895833
8/31/1961,NH,42.53333333,1321.0875
8/31/1961,NJ,625.7041667,14047.57917
8/31/1961,NM,11.52916667,1707.933333
8/31/1961,NV,11.72083333,974.45
8/31/1961,NY,1986.833333,26740.34583
8/31/1961,OH,3861.433333,11588.05
8/31/1961,OK,4.883333333,4054.020833
8/31/1961,OR,33.57083333,3242.9
8/31/1961,PA,4675.1,16121.87917
8/31/1961,RI,44.08333333,1921.9875
8/31/1961,SC,334.3541667,3353
8/31/1961,SD,29.825,1360.033333
8/31/1961,TN,1209.929167,3658.066667
8/31/1961,TX,60.8375,25029.5375
8/31/1961,US,32432.72083,304133.25
8/31/1961,UT,254.9291667,1856.670833
8/31/1961,VA,1055.545833,6324.691667
8/31/1961,VT,12.6625,766.8875
8/31/1961,WA,52.775,5386.991667
8/31/1961,WI,1075.145833,5930.3
8/31/1961,WV,1302.120833,1995.5125
8/31/1961,WY,107.1875,1214.291667
9/30/1961,AK,54.97916667,790.5833333
9/30/1961,AL,1264.104167,3574.625
9/30/1961,AR,0.854166667,2599.270833
9/30/1961,AZ,0.833333333,1984.958333
9/30/1961,CA,202.0416667,28140.60417
9/30/1961,CO,279.6875,2749.229167
9/30/1961,CT,343.4166667,5334
9/30/1961,DC,79.875,817.9583333
9/30/1961,DE,68.10416667,1701.583333
9/30/1961,FL,132.7291667,9509.479167
9/30/1961,GA,301.6041667,4592.395833
9/30/1961,HI,0,1740.125
9/30/1961,IA,382.9583333,4282.145833
9/30/1961,ID,59.91666667,1197.729167
9/30/1961,IL,3258.791667,16618.875
9/30/1961,IN,2740.270833,8844.8125
9/30/1961,KS,46.04166667,3943.375
9/30/1961,KY,1004.166667,3138.604167
9/30/1961,LA,0,7506.166667
9/30/1961,MA,389.1875,11914.95833
9/30/1961,MD,724.9375,5096.791667
9/30/1961,ME,62.72916667,2514.770833
9/30/1961,MI,2102.5,10807.5
9/30/1961,MN,502.6875,5663.958333
9/30/1961,MO,575.6458333,6240.416667
9/30/1961,MS,2.083333333,2288.1875
